Display Name;Salutation;Last Name;First Name;Display Bio;Begin Date;End Date
Mogens Bjørn-Andersen;m;Bjørn-Andersen;Mogens;1911 - 2014;1911;2014
Victor Brockdorff;m;Brockdorff;Victor;1911 - 1992;1911;1992
Sven Hauptmann;m;Hauptmann;Sven;1911 - 1984;1911;1984
Mille Heerup;k;Heerup;Mille;1911;1911;0
Ole Kielberg;m;Kielberg;Ole;1911 - 1985;1911;1985
Knud Lollesgaard;m;Lollesgaard;Knud;1911 - 1997;1911;1997
Sonja Ferlov Mancoba;k;Mancoba;Sonja Ferlov;1911 - 1984;1911;1984
Erik Nyholm;m;Nyholm;Erik;1911 - 1990;1911;1990
Hans Øllgaard;m;Øllgaard;Hans;1911 - 1969;1911;1969
Christian Poulsen;m;Poulsen;Christian;1911 - 1991;1911;1991
Arno Axelsen;m;Axelsen;Arno;1912 - 1972;1912;1972
Falke Bang;m;Bang;Falke;1912 - 1998;1912;1998
Sven Havsteen-Mikkelsen;m;Havsteen-Mikkelsen;Sven;1912 - 1999;1912;1999
Helge Holmskov;m;Holmskov;Helge;1912 - 1982;1912;1982
Ruth Hull;k;Hull;Ruth;1912 - 1996;1912;1996
Robert Jacobsen;m;Jacobsen;Robert;1912 - 1993;1912;1993
Kai Gregers Jensen;m;Jensen;Kai Gregers;1912 - 1994;1912;1994
Finn Juhl;m;Juhl;Finn;1912 - 1989;1912;1989
Ejgil Vedel;m;Vedel;Ejgil;1912 - 2002;1912;2002
Frida Zachariassen;k;Zachariassen;Frida;1912 - 1992;1912;1992
Georg Sand Christiansen;m;Christiansen;Georg Sand;1913;1913;0
Lili Alice Ege;k;Ege;Lili Alice;1913;1913;0
Bamse Kragh-Jacobsen;m;Kragh-Jacobsen;Bamse;1913 - 1992;1913;1992
Harald W. Lauesen;m;Lauesen;Harald W.;1913 - 1989;1913;1989
Carl-Henning Pedersen;m;Pedersen;Carl-Henning;1913 - 2007;1913;2007
Ulf Rasmussen;m;Rasmussen;Ulf;1913 - 1997;1913;1997
Gertrud Vasegaard;k;Vasegaard;Gertrud;1913 - 2007;1913;2007
Sven Dalsgaard;m;Dalsgaard;Sven;1914 - 1999;1914;1999
Lisa Engquist;k;Engquist;Lisa;1914 - 1989;1914;1989
Carl Christian Faarup;m;Faarup;Carl Christian;1914;1914;0
Karl Gustav Hansen;m;Hansen;Karl Gustav;1914 - 2002;1914;2002
Aksel Jensen;m;Jensen;Aksel;1914 - 2005;1914;2005
Asger Jorn;m;Jorn;Asger;1914 - 1973;1914;1973
Mette Kornbeck;k;Kornbeck;Mette;1914;1914;0
Børge Mogensen;m;Mogensen;Børge;1914 - 1972;1914;1972
Hans Wegner;m;Wegner;Hans;1914 - 2007;1914;2007
Gudrun Meedom Bæch;k;Bæch;Gudrun Meedom;1915 - 2011;1915;2011
Edgar Funch;m;Funch;Edgar;1915 - 1995;1915;1995
Poul Hanmann;m;Hanmann;Poul;1915 - 1981;1915;1981
Aage Helbig Hansen;m;Hansen;Aage Helbig;1915 - 2014;1915;2014
Emil Hørbov;m;Hørbov;Emil;1915 - 1990;1915;1990
Henning Weinberg Jensen;m;Jensen;Henning Weinberg;1915;1915;0
Frimod Martin S. Joensen;m;Joensen;Frimod Martin S.;1915 - 1997;1915;1997
Sigrid Lütken;k;Lütken;Sigrid;1915 - 2008;1915;2008
Niels Macholm;m;Macholm;Niels;1915 - 1997;1915;1997
Knud Johannes H. K. Petrussen;m;Petrussen;Knud Johannes H. K.;1915 - 1973;1915;1973
Knud Raaschou-Nielsen;m;Raaschou-Nielsen;Knud;1915 - 1980;1915;1980
Per Ulrich;m;Ulrich;Per;1915 - 1994;1915;1994
Jeppe Vontillius;m;Vontillius;Jeppe;1915 - 1994;1915;1994
Jeppe Carl Jeppesen Vontillius;m;Vontillius;Jeppe Carl Jeppesen;1915 - 1994;1915;1994
Gunnar Westman;m;Westman;Gunnar;1915 - 1985;1915;1985
Mogens Andersen;m;Andersen;Mogens;1916 - 2003;1916;2003
Helge Ernst;m;Ernst;Helge;1916 - 1991;1916;1991
Erik Gruno;m;Gruno;Erik;1916 - 2000;1916;2000
Valdemar Foersom Hegndal;m;Hegndal;Valdemar Foersom;1916 - 2002;1916;2002
Knud Jans;m;Jans;Knud;1916 - 1985;1916;1985
Wilhelm Jensen;m;Jensen;Wilhelm;1916;1916;0
Anna Maria Lütken;k;Lütken;Anna Maria;1916 - 2001;1916;2001
Per Lütken;m;Lütken;Per;1916 - 1998;1916;1998
Alice Mogensen;k;Mogensen;Alice;1916 - 2012;1916;2012
Kaj Lykke Nielsen;m;Nielsen;Kaj Lykke;1916;1916;0
Knud Aage Nielsen;m;Nielsen;Knud Aage;1916;1916;0
Erik Thommesen;m;Thommesen;Erik;1916 - 2008;1916;2008
Karen Westman;k;Westman;Karen;1916 - 1970;1916;1970
Alfred Immanuel Jensen;m;Jensen;Alfred Immanuel;1917 - 2006;1917;2006
Søren Georg Jensen;m;Jensen;Søren Georg;1917 - 1982;1917;1982
Gudrun Ingeborg L. Lauesen Dall;k;Lauesen Dall;Gudrun Ingeborg L.;1917 - 1993;1917;1993
Poul Lillesøe;m;Lillesøe;Poul;1917 - 2011;1917;2011
Rolf Middelboe;m;Middelbo;Rolf;1917 - 1995;1917;1995
Erik Ortvad;m;Ortvad;Erik;1917 - 2008;1917;2008
Jørgen Andersen-Nærum;m;Andersen-Nærum;Jørgen;1918 - 1990;1918;1990
Palle Bisgaard;m;Bisgaard;Palle;1918;1918;0
Carl Faarup Christensen;m;Christensen;Carl Faarup;1918 - 1988;1918;1988
Gutte Eriksen;k;Eriksen;Gutte;1918 - 2008;1918;2008
Jens Peter Groth-Jensen;m;Groth-Jensen;Jens Peter;1918;1918;0
Inger Hanmann;k;Hanmann;Inger;1918 - 2007;1918;2007
Børge Herman Hansen;m;Hansen;Børge Herman;1918 - 2011;1918;2011
Holger Jacobsen;m;Jacobsen;Holger;1918;1918;0
Karl Otto Johansen;m;Johansen;Karl Otto;1918 - 2010;1918;2010
Agnethe Jørgensen;k;Jørgensen;Agnete;1918 - 2011;1918;2011
Henning Koppel;m;Koppel;Henning;1918 - 1981;1918;1981
Ann-Mari Kornerup;k;Kornerup;Ann-Mari Kornerup;1918 - 2006;1918;2006
Mogens Lohmann;m;Lohmann;Mogens;1918 - 1985;1918;1985
Sven Løwe;m;Løwe;Sven;1918;1918;0
Gudrun Poulsen;k;Poulsen;Gudrun;1918 - 1999;1918;1999
Frank Rubin;m;Rubin;Frank;1918 - 1990;1918;1990
Jørgen Samson;m;Samson;Jørgen;1918 - 2005;1918;2005
Preben Siiger;m;Siiger;Preben;1918 - 1995;1918;1995
Dan Sterup-Hansen;m;Sterup-Hansen;Dan;1918 - 1995;1918;1995
Jørn Utzon;m;Utzon;Jørn;1918 - 2008;1918;2008
Gunnar Aagaard Andersen;m;Andersen;Gunnar Aagaard;1919 - 1982;1919;1982
Helge Bertram;m;Bertram;Helge;1919 - 1988;1919;1988
Frits Bruzelius;m;Bruzelius;Frits;1919 - 1974;1919;1974
Frede Christoffersen;m;Christoffersen;Frede;1919 - 1987;1919;1987
Arne Ecklund;m;Ecklund;Arne;1919;1919;0
Ib Geertsen;m;Geertsen;Ib;1919 - 2009;1919;2009
Kjeld Hansen;m;Hansen;Kjeld;1919 - 2012;1919;2012
Preben Hornung;m;Hornung;Preben;1919;1919;0
Richard Kjærgaard;m;Kjærgaard;Richard;1919 - 1999;1919;1999
Leo Lund;m;Lund;Leo Lund;1919 - 1970;1919;1970
Elinborg Lützen;k;Lützen;Elinborg;1919 - 1995;1919;1995
Erik Lynge;m;Lynge;Erik;1919 - 1998;1919;1998
Jane Muus;k;Muus;Jane;1919 - 2007;1919;2007
Karen Thorvald Nielsen;k;Nielsen;Karen Thorvald;1919 - 1997;1919;1997
Børje Ottosson;m;Ottoson;Børje;1919 - 1997;1919;1997
Pierre Soulages;m;Soulages;Pierre;1919;1919;0
Clifford Wright;m;Wright;Clifford;1919 - 1999;1919;1999
Finn Carlsen;m;Carlsen;Finn;1920 - 1996;1920;1996
Paul Gadegaard;m;Gadegaard;Paul;1920 - 1996;1920;1996
Keld Helmer-Petersen;m;Helmer-Petersen;Keld;1920 - 2013;1920;2013
Berit Hjelholt;k;Hjelholt;Berit;-1920;1920;0
Peer Bloch Jacobsen Hübschmann;m;Hübschmann;Peer Bloch Jacobsen;1920 - 1993;1920;1993
Grete Jalk;k;Jalk;Grete;1920 - 2006;1920;2006
Edel Bærskog Jensen;k;Jensen;Edel Bærskog;-1920;1920;0
Jens Urup Jensen;m;Jensen;Jens Urup;1920 - 2010;1920;2010
Eyvind Karup Nielsen;m;Karup Nielsen;Eyvind;1920 - 1988;1920;1988
Albert Mertz;m;Mertz;Albert;1920 - 1990;1920;1990
Vera Myhre;k;Myhre;Vera;1920 - 2000;1920;2000
Jørgen Nash;m;Nash;Jørgen;1920 - 2004;1920;2004
Morten Nielsen;m;Nielsen;Morten;1920 - 1998;1920;1998
Palle Nielsen;m;Nielsen;Palle;1920 - 2000;1920;2000
Willy Ørskov;m;Ørskov;Willy;1920 - 1990;1920;1990
Ingálvur av Reyni;m;Reyni;Ingálvur;1920 - 2005;1920;2005
Torben Valeur;m;Valeur;Torben;1920 - 2001;1920;2001
Mogens Balle;m;Balle;Mogens;1921 - 1988;1921;1988
K. (Knud) Bjørn-Knudsen;m;Bjørn-Knudsen;K. (Knud);1921;1921;0
Erik Bro;m;Bro;Erik;1921;1921;0
Poul Ekelund;m;Ekelund;Poul;1921 - 1976;1921;1976
Emil Gregersen;m;Gregersen;Emil;1921 - 1993;1921;1993
Arne L. Hansen;m;Hansen;Arne L.;1921 - 2009;1921;2009
K. Bjørn Knudsen;m;Knudsen;K. Bjørn;1921;1921;0
Maria Olafsdottir;k;Olafsdottir;Maria;1921 - 1979;1921;1979
Ib Spang Olsen;m;Olsen;Ib;1921 - 2012;1921;2012
Henning Persson;m;Persson;Henning;1921;1921;0
Karin Nathorst Westfeldt;k;Westfeldt;Karin Nathorst;1921 - 2013;1921;2013
Karin Nathorst Westfelt;k;Westfelt;Karin Nathorst;1921 - 2013;1921;2013
Thomas Arnel;m;Arnel;Thomas;1922 - 2010;1922;2010
Kristian Begtorp;m;Begtorp;Kristian;1922;1922;0
Freddie Dybris;m;Dybris;Freddie;1922 - 1993;1922;1993
Bent Galatius;m;Galatius;Bent;1922;1922;0
Gugge Hammerskov;k;Hammerskov;Gugge;1922;1922;0
Svend Wiig Hansen;m;Hansen;Svend Wiig;1922 - 1997;1922;1997
Karen Højgaard;k;Højgaard;Karen;-1922;1922;0
Regnar Jensen;m;Jensen;Regnar;1922 - 2009;1922;2009
Svend Johansen;m;Johansen;Svend;1922 - 1998;1922;1998
Eli Ponsaing;m;Ponsaing;Eli;1922 - 2013;1922;2013
Robert Risager;m;Risager;Robert;1922 - 2007;1922;2007
Viggo Rivad;m;Rivad;Viggo;1922;1922;0
Jørgen Roos;m;Roos;Jørgen;1922 - 1998;1922;1998
Erik Christian Sørensen;m;Sørensen;Erik Christian;1922 - 2011;1922;2011
Eigil Wendt;m;Wendt;Eigil;1922 - 1999;1922;1999
Ejgil Wendt;m;Wendt;Ejgil;1922 - 1999;1922;1999
Ib Braase;m;Braase;Ib;1923 - 2009;1923;2009
Tora Garde;k;Garde;Tora;1923;1923;0
Vibeke Lind;k;Lind;Vibeke;1923 - 2013;1923;2013
